"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: given charm has been built and deployed.
    act: change the backend protocol.
    assert: HTTP request should be forwarded to the application via GRPC
        resulting in HTTP status code 502 Bad Gateway.
    ","","test_ingress_connectivity_different_backend","tests.integration","","unknown","","","test_nginx_route","",""
"
    arrange: given charm has been built, deployed and related to a certificate provider.
    act: get the current certificates provided.
    assert: the given charm has been provided a certificate successfully.
    ","","test_given_charms_deployed_when_relate_then_requirer_received_certs","tests.integration","","unknown","","","test_cert_relation","",""
"Test the ingress relation with both strip_prefix settings.

    Deploy ingress and any-charm, run HTTP test, and clean up.
    ","","test_ingress_relation[False]","tests.integration","","unknown","","","test_ingress_relation","",""
"
    arrange: given charm has been built and deployed.
    act: update the service-hostname option in any-charm.
    assert: HTTP request with the service-hostname value as the host header should be forwarded
        to the application correctly.
    ","","test_update_service_hostname","tests.integration","","unknown","","","test_nginx_route","",""
"
    arrange: sample certificate charm has been deployed.
    act: integrate the sample certificate provider charm to the given charm.
    assert: the integration is successful.
    ","","test_given_charms_deployed_when_relate_then_status_is_active","tests.integration","","unknown","","","test_cert_relation","",""
"
    arrange: given charm has been built, deployed and integrated with a dependent application.
    act: deploy another instance of the given charm.
    assert: the process of deployment, integration and certificate provision is successful.
    ","","test_given_additional_requirer_charm_deployed_when_relate_then_requirer_received_certs","tests.integration","","unknown","","","test_cert_relation","",""
"
    arrange: given charm has been built and deployed,
    act: update the additional-hostnames option in the nginx-route relation using any-charm.
    assert: HTTP request with the additional-hostnames value as the host header should be
        forwarded to the application correctly. And the additional-hostnames should exist
        in the nginx-route relation data.
    ","","test_update_additional_hosts","tests.integration","","unknown","","","test_nginx_route","",""
"Test the ingress relation with both strip_prefix settings.

    Deploy ingress and any-charm, run HTTP test, and clean up.
    ","","test_ingress_relation[True]","tests.integration","","unknown","","","test_ingress_relation","",""
"
    arrange: given charm has been built and deployed.
    act: change the backend protocol.
    assert: unit status is blocked.
    ","","test_ingress_connectivity_invalid_backend","tests.integration","","unknown","","","test_nginx_route","",""
"
    arrange: given charm has been built and deployed.
    act: access ingress IP address with correct host name in HTTP headers.
    assert: HTTP request should be forwarded to the application, while a HTTP request without the
        correct Host header should return with a response of 404 NOT FOUND.
    ","","test_ingress_connectivity","tests.integration","","unknown","","","test_nginx_route","",""
"
    arrange: given charm has been built and deployed.
    act: update the nginx-route relation data with service-name missing.
    assert: Nginx ingress integrator charm should enter blocked status.
    ","","test_missing_field","tests.integration","","unknown","","","test_nginx_route","",""
